activity_code,activity_label,activity_main_code,activity_main_label,activity_display
110,اشتغال در شرکت‌ها، نهادهای دولتی و مؤسسات غیرانتفاعی، برای مزد,1,اشتغال و فعالیت‌های مرتبط، برای مزد,110 — اشتغال در شرکت‌ها، نهادهای دولتی و مؤسسات غیرانتفاعی، برای مزد
121,کاشت محصولات کشاورزی در بنگاه‌های اقتصادی خانگی، برای فروش,1,اشتغال و فعالیت‌های مرتبط، برای مزد,121 — کاشت محصولات کشاورزی در بنگاه‌های اقتصادی خانگی، برای فروش
122,پرورش حیوانات در بنگاه‌های اقتصادی خانگی، برای فروش,1,اشتغال و فعالیت‌های مرتبط، برای مزد,122 — پرورش حیوانات در بنگاه‌های اقتصادی خانگی، برای فروش
123,جنگل‌داری و بریدن درختان در بنگاه‌های اقتصادی خانگی، برای فروش,1,اشتغال و فعالیت‌های مرتبط، برای مزد,123 — جنگل‌داری و بریدن درختان در بنگاه‌های اقتصادی خانگی، برای فروش
124,ماهیگیری در بنگاه‌های اقتصادی خانگی، برای فروش,1,اشتغال و فعالیت‌های مرتبط، برای مزد,124 — ماهیگیری در بنگاه‌های اقتصادی خانگی، برای فروش
125,آبزی‌پروری در بنگاه‌های اقتصادی خانگی، برای فروش,1,اشتغال و فعالیت‌های مرتبط، برای مزد,125 — آبزی‌پروری در بنگاه‌های اقتصادی خانگی، برای فروش
126,معدن‌کاری و استخراج معدن در بنگاه‌های اقتصادی خانگی، برای فروش,1,اشتغال و فعالیت‌های مرتبط، برای مزد,126 — معدن‌کاری و استخراج معدن در بنگاه‌های اقتصادی خانگی، برای فروش
127,تولید و فرآوری کالاها در بنگاه‌های اقتصادی خانگی، برای فروش,1,اشتغال و فعالیت‌های مرتبط، برای مزد,127 — تولید و فرآوری کالاها در بنگاه‌های اقتصادی خانگی، برای فروش
128,فعالیت‌های ساخت ‌و ساز در بنگاه‌های اقتصادی خانگی، برای فروش,1,اشتغال و فعالیت‌های مرتبط، برای مزد,128 — فعالیت‌های ساخت ‌و ساز در بنگاه‌های اقتصادی خانگی، برای فروش
129,سایر فعالیت‌های مرتبط با اشتغال در بنگاه‌های اقتصادی خانگی تولید کالاها، برای مزد,1,اشتغال و فعالیت‌های مرتبط، برای مزد,129 — سایر فعالیت‌های مرتبط با اشتغال در بنگاه‌های اقتصادی خانگی تولید کالاها، برای مزد
131,خرید و فروش کالاها در بنگاه‌های اقتصادی خانگی,1,اشتغال و فعالیت‌های مرتبط، برای مزد,131 — خرید و فروش کالاها در بنگاه‌های اقتصادی خانگی
132,ارائه خدمات بامزد تعمیر، نصب، نگهداری و دفع در خانوارها و بنگاه‌های اقتصادی خانگی,1,اشتغال و فعالیت‌های مرتبط، برای مزد,132 — ارائه خدمات بامزد تعمیر، نصب، نگهداری و دفع در خانوارها و بنگاه‌های اقتصادی خانگی
133,ارائه خدمات بامزد شغلی و حرفه‌ای در خانوارها و بنگاه‌های اقتصادی خانگی,1,اشتغال و فعالیت‌های مرتبط، برای مزد,133 — ارائه خدمات بامزد شغلی و حرفه‌ای در خانوارها و بنگاه‌های اقتصادی خانگی
134,حمل و نقل کالاها و مسافران برای مزد یا سود در خانوارها و بنگاه‌های اقتصادی خانگی,1,اشتغال و فعالیت‌های مرتبط، برای مزد,134 — حمل و نقل کالاها و مسافران برای مزد یا سود در خانوارها و بنگاه‌های اقتصادی خانگی
135,ارائه خدمات بامزد مراقبت‌های شخصی در خانوارها و بنگاه‌های اقتصادی خانگی,1,اشتغال و فعالیت‌های مرتبط، برای مزد,135 — ارائه خدمات بامزد مراقبت‌های شخصی در خانوارها و بنگاه‌های اقتصادی خانگی
136,ارائه خدمات خانگی بامزد,1,اشتغال و فعالیت‌های مرتبط، برای مزد,136 — ارائه خدمات خانگی بامزد
139,سایر فعالیت‌های بامزد مرتبط با اشتغال در خانوارها و بنگاه‌های اقتصادی خانگی ارائه خدمات,1,اشتغال و فعالیت‌های مرتبط، برای مزد,139 — سایر فعالیت‌های بامزد مرتبط با اشتغال در خانوارها و بنگاه‌های اقتصادی خانگی ارائه خدمات
141,فعالیت‌های فرعی (جانبی) شغل,1,اشتغال و فعالیت‌های مرتبط، برای مزد,141 — فعالیت‌های فرعی (جانبی) شغل
142,وقفه‌های زمان کاری در شغل,1,اشتغال و فعالیت‌های مرتبط، برای مزد,142 — وقفه‌های زمان کاری در شغل
150,مهارت‌آموزی و مطالعات مرتبط با شغل,1,اشتغال و فعالیت‌های مرتبط، برای مزد,150 — مهارت‌آموزی و مطالعات مرتبط با شغل
160,جستجوی شغل,1,اشتغال و فعالیت‌های مرتبط، برای مزد,160 — جستجوی شغل
170,راه‌اندازی کسب و کار,1,اشتغال و فعالیت‌های مرتبط، برای مزد,170 — راه‌اندازی کسب و کار
181,سفر مرتبط با اشتغال,1,اشتغال و فعالیت‌های مرتبط، برای مزد,181 — سفر مرتبط با اشتغال
182,تردد (رفت و آمد) برای اشتغال,1,اشتغال و فعالیت‌های مرتبط، برای مزد,182 — تردد (رفت و آمد) برای اشتغال
211,کاشت محصولات باغچه‌ خانگی، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,211 — کاشت محصولات باغچه‌ خانگی، برای استفاده نهایی خود
212,پرورش حیوانات و تولید فرآورده‌های حیوانی، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,212 — پرورش حیوانات و تولید فرآورده‌های حیوانی، برای استفاده نهایی خود
213,شکار، تله‌گذاری و تولید فرآورده‌های پوست‌ حیوانات، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,213 — شکار، تله‌گذاری و تولید فرآورده‌های پوست‌ حیوانات، برای استفاده نهایی خود
214,جنگل‌داری و بریدن درختان، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,214 — جنگل‌داری و بریدن درختان، برای استفاده نهایی خود
215,جمع‌آوری محصولات وحشی (خودرو)، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,215 — جمع‌آوری محصولات وحشی (خودرو)، برای استفاده نهایی خود
216,ماهیگیری، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,216 — ماهیگیری، برای استفاده نهایی خود
217,آبزی‌پروری، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,217 — آبزی‌پروری، برای استفاده نهایی خود
218,معدن‌کاری و استخراج معدن، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,218 — معدن‌کاری و استخراج معدن، برای استفاده نهایی خود
